Checking Euc20 1000000 random points, query radius = 0.6017460044834176
D	angle(deg)	stdev	in range
Distance = 0.01 No points in 0-1 range
0.02	145.96	5.7	3
0.03	139.6	5.5	2
0.04	144.83	2.4	4
0.05	145.16	6.53	3
0.06	139.45	4.72	5
0.07	143.5	4.33	8
0.08	140.51	2.22	3
0.09	143.05	3.45	5
0.1	139.6	1.93	9
0.11	138.53	4.74	18
0.12	136.4	4.61	19
0.13	137.47	4.8	16
0.14	137.2	5.53	22
0.15	135.24	5.5	31
0.16	136.07	4.43	39
0.17	135.37	4.96	54
0.18	134.69	5.66	57
0.19	134.6	4.8	74
0.2	134.12	5.32	93
0.21	133.19	5.59	90
0.22	131.83	5.34	108
0.23	133.54	6.11	142
0.24	131.85	5.63	172
0.25	131.9	5.83	208
0.26	130.71	5.69	234
0.27	130.01	5.94	331
0.28	129.78	6.04	332
0.29	129.32	5.75	406
0.3	129.34	6.6	462
0.31	128.22	6.34	588
0.32	128.1	6.7	710
0.33	127.63	6.59	738
0.34	126.8	6.83	863
0.35	126.53	6.55	1021
0.36	125.59	6.89	1173
0.37	125.41	6.8	1380
0.38	125.11	6.72	1616
0.39	124.23	6.85	1940
0.4	123.78	7.18	2149
0.41	123.39	7.13	2454
0.42	123.02	7.34	2835
0.43	122.18	7.39	3077
0.44	121.55	7.44	3656
0.45	121.21	7.54	4258
0.46	120.9	7.63	4841
0.47	120.33	7.72	5350
0.48	119.77	7.82	6016
0.49	119.52	7.84	6781
0.5	118.92	7.93	7639
0.51	118.39	8.03	8619
0.52	117.9	8.18	9706
0.53	117.24	8.17	10885
0.54	116.79	8.31	12159
0.55	116.47	8.33	13543
0.56	115.88	8.46	15245
0.57	115.31	8.5	16829
0.58	114.91	8.6	18818
0.59	114.4	8.69	20617
0.6	114.08	8.74	22614
0.61	113.42	8.9	25259
0.62	112.92	8.93	27969
0.63	112.59	9.04	31086
0.64	112.05	9.16	34103
0.65	111.6	9.25	37320
0.66	111.08	9.35	40798
0.67	110.58	9.43	44643
0.68	110.16	9.48	49244
0.69	109.65	9.61	53399
0.7	109.23	9.75	57760
0.71	108.77	9.79	63182
0.72	108.35	9.89	68486
0.73	107.92	9.93	74559
0.74	107.41	10.02	80254
0.75	106.98	10.13	86774
0.76	106.5	10.29	93712
0.77	106.15	10.32	101119
0.78	105.62	10.41	109443
0.79	105.2	10.48	116711
0.8	104.85	10.57	126022
0.81	104.39	10.72	134143
0.82	103.95	10.79	144120
0.83	103.52	10.86	153928
0.84	103.13	10.94	163797
0.85	102.72	11.02	174289
0.86	102.31	11.1	185930
0.87	101.92	11.21	197455
0.88	101.54	11.32	209266
0.89	101.16	11.38	221601
0.9	100.78	11.46	235007
0.91	100.44	11.53	247445
0.92	100.01	11.63	261638
0.93	99.7	11.69	275182
0.94	99.31	11.73	289808
0.95	98.98	11.8	303602
0.96	98.62	11.91	318612
0.97	98.34	11.94	333389
0.98	97.99	12.03	349498
0.99	97.68	12.1	364366
1	97.37	12.16	380839
1.01	97.08	12.21	396478
1.02	96.8	12.26	412009
1.03	96.53	12.32	428629
1.04	96.24	12.39	444641
1.05	95.92	12.45	460636
