Checking Euc10 1000000 random points, query radius = 0.22874056434485462
D	angle(deg)	stdev	in range
0.01	143.59	6.42	1367
0.02	142.75	6.79	1959
0.03	140.89	6.77	2735
0.04	139.88	7.16	3602
0.05	138.3	7.53	4862
0.06	136.8	7.71	6366
0.07	135.57	8.1	8138
0.08	133.99	8.26	10376
0.09	132.59	8.61	13476
0.1	131.15	9.01	17041
0.11	129.59	9.3	21165
0.12	128.3	9.73	25997
0.13	126.8	10	32077
0.14	125.35	10.34	39299
0.15	123.92	10.76	47360
0.16	122.42	11.14	57063
0.17	121.06	11.56	67994
0.18	119.63	11.97	80729
0.19	118.14	12.27	95092
0.2	116.76	12.73	110462
0.21	115.36	13.1	128924
0.22	113.95	13.49	148912
0.23	112.61	13.84	171192
0.24	111.19	14.25	194003
0.25	109.81	14.62	220679
0.26	108.47	15.03	249027
0.27	107.14	15.37	279042
0.28	105.92	15.76	311338
0.29	104.56	16.13	346284
0.3	103.34	16.45	381796
0.31	102.21	16.75	418953
0.32	101.04	17.05	456819
0.33	99.88	17.36	496649
0.34	98.87	17.67	535270
0.35	97.85	17.92	575233
0.36	96.94	18.13	614198
0.37	96.12	18.3	652393
0.38	95.32	18.47	689414
0.39	94.61	18.61	722993
0.4	93.99	18.73	755385
0.41	93.45	18.79	786327
0.42	92.96	18.88	814900
0.43	92.49	18.94	840428
0.44	92.12	18.93	863601
0.45	91.78	18.97	884526
0.46	91.49	19.01	902992
0.47	91.23	19.05	918670
0.48	91.04	19.03	932722
0.49	90.83	19.05	945190
0.5	90.69	19.05	955680
0.51	90.51	19.05	964567
0.52	90.45	19.03	972093
0.53	90.34	19.07	977879
0.54	90.29	19.05	983114
0.55	90.23	19.05	987178
0.56	90.15	19.08	990502
0.57	90.1	19.05	993238
0.58	90.1	19.05	995053
0.59	90.04	19.05	996654
0.6	90.06	19.06	997826
0.61	90.02	19.06	998572
0.62	90.03	19.07	999108
0.63	89.99	19.08	999434
0.64	89.99	19.09	999736
0.65	90	19.05	999859
0.66	90.01	19.05	999938
0.67	89.96	19.07	999980
0.68	90	19.08	999992
0.69	89.98	19.04	999998
0.7	90.02	19.08	999999
0.71	89.98	19.04	1000000
0.72	90.02	19.08	1000000
0.73	89.98	19.06	1000000
0.74	90	19.04	1000000
0.75	90.03	19.06	1000000
0.76	90.03	19.05	1000000
0.77	90.02	19.06	1000000
0.78	90.01	19.05	1000000
