using centre
Checking Euc20 1000000 random points, query radius = 0.6017460044834176
D	angle(deg)	stdev	in range
0.01	32.4	0.15	2
0.02	30.97	0	1
0.03	38.91	2.93	2
0.04	40.6	6.88	5
0.05	39.31	5.37	4
0.06	41.66	5.33	4
0.07	36.04	5.12	9
0.08	37.27	4.41	6
0.09	41.73	3.3	4
0.1	44.07	1.76	4
0.11	41.8	5.68	17
0.12	42.6	4.13	18
0.13	41.32	4.22	20
0.14	42.93	4.65	27
0.15	43.39	6.27	28
0.16	45.03	4.87	41
0.17	45.94	5.38	49
0.18	45.35	5.23	60
0.19	44.79	5.12	71
0.2	46.65	4.76	82
0.21	47.03	5.01	106
0.22	46.95	6.1	127
0.23	47.53	5.75	159
0.24	47.66	5.83	188
0.25	48.39	6.37	204
0.26	49.61	6.09	251
0.27	49.65	6.09	279
0.28	50.45	6.28	352
0.29	50.06	6.29	392
0.3	50.86	6.63	532
0.31	51.79	6.32	541
0.32	52.21	6.39	661
0.33	53.08	6.77	744
0.34	53.42	6.85	932
0.35	53.92	6.91	1022
0.36	53.94	6.7	1246
0.37	54.66	6.8	1395
0.38	55.12	6.75	1632
0.39	55.78	7.19	1898
0.4	56.24	7.14	2118
0.41	56.45	7.27	2526
0.42	57.28	7.42	2815
0.43	57.55	7.2	3247
0.44	58.37	7.56	3584
0.45	58.75	7.5	4171
0.46	59.19	7.55	4724
0.47	59.79	7.7	5345
0.48	60.12	7.77	6017
0.49	60.61	7.92	6921
0.5	61.12	7.97	7548
0.51	61.5	8.01	8792
0.52	62.14	8.07	9595
0.53	62.69	8.19	10770
0.54	63.07	8.31	12211
0.55	63.62	8.31	13649
0.56	64.03	8.42	15483
0.57	64.66	8.51	16824
0.58	65.08	8.6	18647
0.59	65.54	8.69	20464
0.6	66.17	8.75	22866
0.61	66.56	8.89	25531
0.62	66.93	8.94	28343
0.63	67.43	9.07	30878
0.64	67.93	9.11	34295
0.65	68.42	9.21	37364
0.66	68.91	9.39	40988
0.67	69.34	9.39	44628
0.68	69.84	9.5	48954
0.69	70.35	9.59	53492
0.7	70.75	9.72	58314
0.71	71.28	9.75	63057
0.72	71.7	9.93	68516
0.73	72.13	9.98	74378
0.74	72.54	10.1	80560
0.75	73.02	10.13	87016
0.76	73.5	10.24	93761
0.77	73.85	10.32	101148
0.78	74.34	10.4	109038
0.79	74.78	10.53	116831
0.8	75.19	10.63	125818
0.81	75.62	10.65	135220
0.82	76.05	10.79	143913
0.83	76.51	10.85	153991
0.84	76.87	10.95	163694
0.85	77.24	11.03	174960
0.86	77.69	11.12	185575
0.87	78.1	11.19	197472
0.88	78.44	11.31	210064
0.89	78.84	11.39	221746
0.9	79.23	11.47	234828
0.91	79.59	11.53	247770
0.92	79.97	11.62	262045
