Distance,IDIM
0.01,257.1018471
0.02,251.3054944
0.03,246.7689847
0.04,240.2949499
0.05,232.9086437
0.06,225.9062043
0.07,219.0578755
0.08,213.1964033
0.09,209.0102155
0.1,203.7758617
0.11,198.3213231
0.12,194.0443648
0.13,189.1048857
0.14,184.5919918
0.15,179.6141577
0.16,175.1512399
0.17,171.5939236
0.18,168.039414
0.19,164.2379312
0.2,160.6109853
0.21,156.9531741
0.22,153.5205539
0.23,150.0390928
0.24,146.4434785
0.25,142.8036706
0.26,139.5286448
0.27,136.078261
0.28,132.7053064
0.29,129.317019
0.3,125.95766
0.31,122.6675838
0.32,119.4910847
0.33,116.3947576
0.34,113.4922253
0.35,110.5717999
0.36,107.8249141
0.37,105.1716211
0.38,102.6491808
0.39,100.0823581
0.4,97.55038988
0.41,95.07323989
0.42,92.64822707
0.43,90.3081666
0.44,87.99891339
0.45,85.73875861
0.46,83.53598267
0.47,81.35122493
0.48,79.20809691
0.49,77.06967834
0.5,75.00906385
0.51,72.9650478
0.52,70.97343958
0.53,69.04531087
0.54,67.17807495
0.55,65.33143938
0.56,63.52508464
0.57,61.73992835
0.58,59.99403188
0.59,58.30583137
0.6,56.6572437
0.61,55.04649533
0.62,53.46873102
0.63,51.93554241
0.64,50.44309279
0.65,48.99399549
0.66,47.57289554
0.67,46.19157903
0.68,44.84510424
0.69,43.54113153
0.7,42.26929931
0.71,41.04836668
0.72,39.858771
0.73,38.70860835
0.74,37.59196256
0.75,36.49552668
0.76,35.45661067
0.77,34.43634022
0.78,33.45106038
0.79,32.49307603
0.8,31.55906224
0.81,30.65914746
0.82,29.7789927
0.83,28.93588301
0.84,28.11800208
0.85,27.33251155
0.86,26.57140917
0.87,25.83551508
0.88,25.1231471
0.89,24.43827793
0.9,23.77618749
0.91,23.13798539
0.92,22.52242724
0.93,21.93088355
0.94,21.36255828
0.95,20.81526505
0.96,20.28403555
0.97,19.77414205
0.98,19.28515895
0.99,18.81889207
1,18.37075328
1.01,17.93969732
1.02,17.52141873
1.03,17.12355016
1.04,16.74540574
1.05,16.38242571
1.06,16.03500642
1.07,15.7004305
1.08,15.38390743
1.09,15.07859039
1.1,14.78602829
1.11,14.50951992
1.12,14.25070767
1.13,14.00409845
1.14,13.76921487
1.15,13.54463564
1.16,13.33248728
1.17,13.13223207
1.18,12.94352672
1.19,12.76367677
1.2,12.59462572
1.21,12.43516153
1.22,12.29134775
1.23,12.15498344
1.24,12.0277336
1.25,11.90742693
1.26,11.79758523
1.27,11.69831487
1.28,11.60397252
1.29,11.51653407
1.3,11.43483937
1.31,11.36161524
1.32,11.29452422
1.33,11.23685275
1.34,11.18254155
1.35,11.13474198
1.36,11.09035584
1.37,11.05083705
1.38,11.019592
1.39,10.99031882
1.4,10.96558263
1.41,10.9441405
1.42,10.92702351
1.43,10.91193201
1.44,10.89946643
1.45,10.88792652
1.46,10.87829429
1.47,10.87240499
1.48,10.8693582
1.49,10.86683323
1.5,10.86461746
1.51,10.86347985
1.52,10.86123607
1.53,10.86138631
1.54,10.86282323
1.55,10.86364578
1.56,10.86461543
1.57,10.86623066
1.58,10.86657103
1.59,10.86553885
1.6,10.8664477
1.61,10.86732434
1.62,10.86742519
1.63,10.86948766
1.64,10.87006308
1.65,10.87220373
1.66,10.87416083
1.67,10.87659116
1.68,10.87949614
1.69,10.88526551
1.7,10.89279073
1.71,10.90240791
1.72,10.91263728
1.73,10.92527511
1.74,10.93962759
1.75,10.95873926
1.76,10.98150601
1.77,11.00974247
1.78,11.03595864
1.79,11.06916666
1.8,11.10463778
1.81,11.14724512
1.82,11.19583888
1.83,11.25129723
1.84,11.30889164
1.85,11.37336396
1.86,11.44395589
1.87,11.52044637
1.88,11.60756876
1.89,11.70209477
1.9,11.80235841
1.91,11.90736665
1.92,12.02550874
1.93,12.154539
1.94,12.2901925
1.95,12.43625677
1.96,12.59128168
1.97,12.75596317
1.98,12.92973735
1.99,13.11719109
2,13.31220801
2.01,13.5191584
2.02,13.74100279
2.03,13.97524192
2.04,14.21891842
2.05,14.47546909
2.06,14.74703725
2.07,15.03390988
2.08,15.33417428
2.09,15.64846755
2.1,15.97605496
2.11,16.31709748
2.12,16.681619
2.13,17.06019419
2.14,17.4537565
2.15,17.86454418
2.16,18.28931769
2.17,18.74059299
2.18,19.20715245
2.19,19.69457554
