/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/bin/java -Dvisualvm.id=4070110714884315 -Xmx10G "-javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=52408:/Applications/IntelliJ IDEA.app/Contents/bin" -Dfile.encoding=UTF-8 -classpath /Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/packager.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/tools.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jfxswt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/cldrdata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/nashorn.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Users/al/repos/github/angles/target/classes:/Users/al/.m2/repository/richard-connor/Metric-space-framework/1.0-SNAPSHOT/Metric-space-framework-1.0-SNAPSHOT.jar:/Users/al/.m2/repository/org/apache/commons/commons-math3/3.5/commons-math3-3.5.jar:/Users/al/.m2/repository/org/openjfx/javafx-controls/12.0.1/javafx-controls-12.0.1.jar:/Users/al/.m2/repository/org/openjfx/javafx-controls/12.0.1/javafx-controls-12.0.1-mac.jar:/Users/al/.m2/repository/org/openjfx/javafx-graphics/12.0.1/javafx-graphics-12.0.1.jar:/Users/al/.m2/repository/org/openjfx/javafx-graphics/12.0.1/javafx-graphics-12.0.1-mac.jar:/Users/al/.m2/repository/org/openjfx/javafx-base/12.0.1/javafx-base-12.0.1.jar:/Users/al/.m2/repository/org/openjfx/javafx-base/12.0.1/javafx-base-12.0.1-mac.jar:/Users/al/.m2/repository/junit/junit/4.12/junit-4.12.jar:/Users/al/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar uk.al_richard.experimental.angles.SweepyIDIMExplorer
objc[27356]: Class JavaLaunchHelper is implemented in both /Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/bin/java (0x10e8c94c0) and /Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/libinstrument.dylib (0x10e9434e0). One of the two will be used. Which one is undefined.
Checking Euc30 1000000 random points, query radius = 2.3 pivots = 500
diagonal_distance	lidim	count	piv idim	count
0.01	1054.337273910737	472	112.69783751660736	500
0.02	1048.6335896805829	554	112.0385162629198	500
0.03	1035.4387126209604	665	111.38170591316556	500
0.04	1027.7665346121116	801	110.72740725466475	500
0.05	1023.0393295672578	964	110.07562108755147	500
0.06	1017.0002160955105	1138	109.42634822501633	500
0.07	1007.7635222823614	1345	108.77958949355357	500
0.08	994.0683079769113	1557	108.13534573321165	500
0.09	975.7621757496104	1813	107.4936177978501	500
0.1	955.441567221929	2098	106.85440655540212	500
0.11	935.1098122520158	2494	106.21771288814195	500
0.12	919.472980509976	2852	105.58353769295833	500
0.13	897.4371480538244	3305	104.9518818816331	500
0.14	875.3869883388178	3801	104.32274638112695	500
0.15	852.7830017409354	4348	103.6961321338698	500
0.16	830.5468780193165	5009	103.07204009805824	500
0.17	809.6272129959966	5709	102.4504712479586	500
0.18	787.8772215087278	6542	101.8314265742177	500
0.19	767.9891773976963	7514	101.21490708417737	500
0.2	749.5889877601801	8546	100.60091380220001	500
0.21	730.9498723330325	9669	99.98944776999653	500
0.22	711.8921709351906	10987	99.3805100469654	500
0.23	693.7380030898119	12426	98.77410171053434	500
0.24	675.5686175995002	14062	98.1702238565144	500
0.25	658.6104788732395	15877	97.56887759945735	500
0.26	642.0042231117579	17807	96.97006407302332	500
0.27	625.4508530556702	20018	96.3737844303535	500
0.28	609.5346380172698	22487	95.78003984445684	500
0.29	594.1608681979726	25136	95.18883150859502	500
0.3	579.1249897953707	28117	94.60016063668691	500
0.31	564.6010447880178	31243	94.01402846371204	500
0.32	549.9564565794335	34756	93.43043624613033	500
0.33	535.8558255219793	38634	92.84938526230455	500
0.34	522.1270549894496	42756	92.27087681293631	500
0.35	508.5389389198951	47184	91.69491222150992	500
0.36	495.0869771557974	52029	91.12149283474425	500
0.37	481.80859495803674	57269	90.55062002305668	500
0.38	468.9275649323574	62798	89.98229518103605	500
0.39	456.1298941232079	68823	89.41651972792486	500
0.4	443.5685500384157	75354	88.85329510811363	500
0.41	431.367438746427	82358	88.29262279164361	500
0.42	419.4879925558018	89853	87.73450427472267	500
0.43	408.011993564018	97737	87.17894108025048	500
0.44	396.68114516354456	106346	86.62593475835538	500
0.45	385.73233954841265	115407	86.07548688694347	500
0.46	375.1448408266279	124877	85.52759907225861	500
0.47	364.66613899312256	135026	84.98227294945428	500
0.48	354.5796258779663	145632	84.43951018317847	500
0.49	344.7193048930322	156768	83.89931246817046	500
0.5	335.0398368340782	168509	83.36168152987085	500
0.51	325.5430448909314	180897	82.82661912504405	500
0.52	316.29042219064496	193912	82.2941270424136	500
0.53	307.36886249945644	207350	81.76420710331321	500
0.54	298.65620964094165	221221	81.23686116234803	500
0.55	290.11947613083487	235719	80.71209110807341	500
0.56	281.7525449473621	250793	80.18989886368698	500
0.57	273.648520064258	266305	79.6702863877328	500
0.58	265.7956828738038	282068	79.15325567482405	500
0.59	258.1247105821735	298203	78.638808756381	500
0.6	250.5272321601448	315052	78.12694770137891	500
0.61	243.22125835625982	331992	77.61767461711871	500
0.62	236.06702451594356	349340	77.11099165001048	500
0.63	229.0648749651069	367060	76.60690098637218	500
0.64	222.2851561024526	384903	76.10540485324658	500
0.65	215.62914925556515	403240	75.60650551923585	500
0.66	209.20947087695023	421585	75.11020529535172	500
0.67	202.9529789971014	440144	74.6165065358836	500
0.68	196.83666892315932	459004	74.12541163928492	500
0.69	190.91465762879116	477937	73.63692304907762	500
0.7	185.19288370474527	496816	73.15104325477472	500
0.71	179.63890583427545	515762	72.66777479282189	500
0.72	174.27804066327107	534572	72.18712024755783	500
0.73	169.0896972507436	553238	71.70908225219351	500
0.74	164.00380717974394	572126	71.23366348981219	500
0.75	159.1143389110959	590734	70.76086669438835	500
0.76	154.40403724170514	609042	70.29069465182681	500
0.77	149.81747425443695	627303	69.8231502010225	500
0.78	145.43174256679836	645054	69.35823623494123	500
0.79	141.17166164809237	662625	68.89595570172072	500
0.8	137.07600995811134	679744	68.43631160579301	500
0.81	133.1121246191488	696563	67.97930700903007	500
0.82	129.2696529307782	713084	67.52494503190627	500
0.83	125.58634389927478	729077	67.07322885468916	500
0.84	122.06572140645125	744455	66.62416171864768	500
0.85	118.62763788038056	759618	66.17774692728442	500
0.86	115.32237915577583	774297	65.73398784758984	500
0.87	112.15908936284731	788357	65.29288791132092	500
0.88	109.10962047433226	801945	64.85445061629856	500
0.89	106.2086146677405	814799	64.41867952773245	500
0.9	103.38918216781204	827316	63.9855782795668	500
0.91	100.6768230069391	839321	63.55515057584864	500
0.92	98.10451428359822	850586	63.12740019211998	500
0.93	95.65155193841007	861204	62.70233097683423	500
0.94	93.2740753617956	871425	62.27994685279321	500
0.95	90.99002783944609	881141	61.86025181860987	500
