Checking Euc10 1000000 random points, query radius = 1.0 pivots = 200
diagonal_distance	lidim	count	piv iDIM	count
0.01	22.17671662042928	186	3.8339195127338384	200
0.02	21.136556083735567	217	3.8147974849954713	200
0.03	20.930370547005893	263	3.7957025910035895	200
0.04	19.97679740555009	303	3.7766352894654607	200
0.05	19.65382479036115	360	3.757596049808897	200
0.06	19.553421875619016	430	3.7385853524966928	200
0.07	19.340989074535724	509	3.7196036893518083	200
0.08	19.311007744688375	611	3.7006515638934996	200
0.09	19.104031056466066	724	3.681729491685029	200
0.1	18.626073864662736	841	3.6628380006931525	200
0.11	18.573449784407334	997	3.6439776316599457	200
0.12	18.39571625930624	1174	3.6251489384873694	200
0.13	17.993225307004167	1359	3.6063524886350256	200
0.14	17.677994801588262	1578	3.58758886353157	200
0.15	17.436207029468424	1832	3.568858659000277	200
0.16	17.48631011249785	2161	3.5501624856992486	200
0.17	17.370267546354974	2520	3.531500969576803	200
0.18	17.06532308140703	2911	3.5128747523425106	200
0.19	16.81400580278204	3355	3.4942844919545246	200
0.2	16.643981446235433	3878	3.4757308631236534	200
0.21	16.371483207892513	4446	3.4572145578348503	200
0.22	16.157525143135732	5104	3.4387362858866113	200
0.23	15.957441084190132	5848	3.420296775448992	200
0.24	15.669632421430768	6652	3.4018967736407717	200
0.25	15.534976112012213	7617	3.383537047126466	200
0.26	15.275098647499439	8639	3.365218382733773	200
0.27	15.033530447554007	9782	3.346941588092187	200
0.28	14.779841801297984	11039	3.328707492293387	200
0.29	14.555364289738934	12453	3.310516946574123	200
0.3	14.314564953250242	13995	3.2923708250222985	200
0.31	14.149476478916704	15778	3.274270025306926	200
0.32	13.927888223609408	17680	3.256215469432729	200
0.33	13.76847887496831	19859	3.2382081045200257	200
0.34	13.550367286306225	22168	3.2202489036107425	200
0.35	13.3833960912549	24788	3.202338866501166	200
0.36	13.225371527196788	27694	3.1844790206022813	200
0.37	13.040619227771712	30816	3.1666704218283495	200
0.38	12.819337979677053	34130	3.1489141555145355	200
0.39	12.62876286030126	37803	3.131211337364245	200
0.4	12.436416169400845	41778	3.113563114426943	200
0.41	12.24555453526602	46084	3.095970666107172	200
0.42	12.093523655086814	50904	3.078435205205449	200
0.43	11.894029135610127	55896	3.0609579789917105	200
0.44	11.713605872034018	61349	3.0435402703120475	200
0.45	11.53341656377987	67213	3.0261833987292603	200
0.46	11.34263413971088	73421	3.008888721697932	200
0.47	11.151047914693597	80025	2.99165763577457	200
0.48	10.949856421606933	86963	2.974491577863338	200
0.49	10.78369657842964	94616	2.9573920264978844	200
0.5	10.588563498600195	102461	2.940360503159729	200
0.51	10.415737921839442	110966	2.923398573633561	200
0.52	10.24996572620607	120036	2.9065078493998384	200
0.53	10.081491528663944	129576	2.889689989064884	200
0.54	9.894970995383686	139348	2.872946699828729	200
0.55	9.718342684302263	149704	2.8562797389907675	200
0.56	9.536111147634706	160411	2.839690915493339	200
