Checking Euc20 1000000 random points, query radius = 1.8 pivots = 500, Created with SweepyAngleExplorer.java
diagonal_distance	lidim	count	piv iDIM	count
0.01	34.3523132803994	1023	4.941903762087009	500
0.02	33.77395131187192	1201	4.927268051321986	500
0.03	33.00211287710012	1397	4.912651689492755	500
0.04	32.67017860343973	1638	4.89805494709943	500
0.05	32.165377709332326	1912	4.8834780996699285	500
0.06	31.634161493308497	2219	4.868921427876025	500
0.07	30.95140553393516	2555	4.854385217652626	500
0.08	30.890219389222043	2993	4.8398697603202825	500
0.09	30.42625888036707	3453	4.825375352711191	500
0.1	29.962284674637893	3983	4.810902297298566	500
0.11	29.805087269456347	4626	4.796450902329714	500
0.12	29.62421648171223	5365	4.7820214819628335	500
0.13	28.913604800005885	6101	4.767614356407594	500
0.14	28.595562808996156	7005	4.753229852069748	500
0.15	28.157621411636775	7991	4.738868301699849	500
0.16	27.71622159793663	9094	4.7245300445461496	500
0.17	27.31354684404773	10335	4.710215426511934	500
0.18	26.900635462604846	11718	4.695924800317322	500
0.19	26.586762568038708	13308	4.6816585256657675	500
0.2	26.197857060440683	15037	4.6674169694153935	500
0.21	25.828925758949257	16966	4.6532005057552315	500
0.22	25.37114431275358	19039	4.639009516386731	500
0.23	25.03554001421835	21416	4.62484439071048	500
0.24	24.61220773931336	23950	4.610705526018478	500
0.25	24.13450071974328	26656	4.596593327692124	500
0.26	23.77785683317284	29742	4.582508209405986	500
0.27	23.401147259386466	33081	4.56845059333778	500
0.28	23.033469570990782	36741	4.554420910384543	500
0.29	22.699625740507187	40775	4.540419600385337	500
0.3	22.33854460458994	45103	4.526447112350678	500
0.31	21.94815751482878	49719	4.512503904698975	500
0.32	21.63192804030082	54879	4.4985904455000965	500
0.33	21.280024245502798	60351	4.484707212726423	500
0.34	20.943136239948746	66276	4.470854694511669	500
0.35	20.600555968028026	72622	4.457033389417602	500
0.36	20.272362066780826	79470	4.4432438067090825	500
0.37	19.90590620691136	86618	4.429486466637708	500
0.38	19.595692281706814	94484	4.415761900734242	500
0.39	19.247715297662946	102663	4.402070652110292	500
0.4	18.89067035131872	111255	4.3884132757694845	500
0.41	18.564270713144275	120520	4.374790338928466	500
0.42	18.267442590427624	130509	4.361202421348237	500
0.43	17.933213435590154	140767	4.3476501156759	500
0.44	17.616290651792262	151676	4.334134027797565	500
0.45	17.288518534255733	163003	4.320654777202472	500
0.46	16.98367006305039	175065	4.3072129973590325	500
0.47	16.64384829333627	187257	4.2938093361030445	500
0.48	16.33514315195398	200268	4.280444456038602	500
0.49	16.022482087001578	213705	4.267119034952164	500
0.5	15.730866641694613	227912	4.2538337662402945	500
0.51	15.430415023146214	242473	4.240589359351538	500
0.52	15.126754565511451	257415	4.227386540243005	500
0.53	14.827229110616425	272819	4.214226051852264	500
0.54	14.529239581695338	288622	4.19762305256528	500
0.55	14.249812670439054	305157	4.180694168206177	500
0.56	13.964586608304039	321922	4.163804875269595	500
0.57	13.6838523491708	339083	4.146955748977538	500
0.58	13.413759315550237	356795	4.130147375792336	500
0.59	13.142502260994764	374724	4.113380353686326	500
0.6	12.855621019384547	392348	4.096655292418864	500
0.61	12.582654127229736	410466	4.079972813820919	500
0.62	12.320322257827591	429012	4.063333552087383	500
0.63	12.053318719472907	447413	4.046738154077569	500
0.64	11.798087316258549	466223	4.0301872796237355	500
0.65	11.546564255066441	485126	4.013681601848267	500
0.66	11.29300256546819	503827	3.9972218074894634	500
0.67	11.048465832101673	522749	3.98080859723629	500
0.68	10.805684432144337	541529	3.9644426860724393	500
0.69	10.567315615400323	560252	3.9481248036297467	500
0.7	10.330069364679472	578700	3.931855694551428	500
0.71	10.099103710266037	597095	3.9156361188652786	500
0.72	9.87497404196885	615480	3.899466852367219	500
0.73	9.651831510228558	633446	3.8833486870153275	500
0.74	9.432239924300465	651102	3.8672824313348397	500
0.75	9.21693565043162	668477	3.8512689108342366	500
0.76	9.005922257841615	685525	3.8353089684328343	500
0.77	8.7958760580625	701955	3.8194034649001543	500
0.78	8.592664596513833	718188	3.803553279307399	500
0.79	8.391109262143074	733782	3.78775930949133	500
0.8	8.194549619456891	748988	3.77202247253095	500
0.81	8.002916861103056	763800	3.756343705237234	500
0.82	7.814567926347538	778036	3.7407239646563584	500
0.83	7.631294083935221	791863	3.7251642285866997	500
0.84	7.45333200507938	805309	3.709665496110036	500
0.85	7.277130906288702	817991	3.694228788137206	500
0.86	7.10634688445829	830289	3.6788551479688176	500
0.87	6.939383050834741	842040	3.6635456418711305	500
0.88	6.776386466098836	853250	3.648301359667654	500
0.89	6.6167021229367045	863841	3.633123415346959	500
0.9	6.4604662525272065	873807	3.6180129476867986	500
0.91	6.309103763968329	883402	3.602971120895345	500
0.92	6.161514480375343	892462	3.5879991252696524	500
0.93	6.017749370418667	900991	3.5730981778719975	500
0.94	5.8770232620657135	908921	3.5582695232243937	500
0.95	5.74018629117376	916364	3.5435144340218705	500
0.96	5.608381500897018	923539	3.5288342118648854	500
0.97	5.479164401862041	930100	3.514230188011393	500
0.98	5.352775279782578	936067	3.499703724149111	500
0.99	5.230357620463624	941681	3.4852562131884	500
1	5.112185270984849	947021	3.470889080076363	500
1.01	4.997301483792356	951939	3.4566037826326648	500
1.02	4.885703073395337	956487	3.4424018124076854	500
1.03	4.777932256868536	960768	3.4282846955634856	500
1.04	4.672934449154158	964663	3.414253993778349	500
1.05	4.5707864089107	968158	3.400311305175357	500
1.06	4.471748060932949	971357	3.3864582652758246	500
1.07	4.376255681954498	974403	3.3726965479781104	500
1.08	4.2834861216548985	977147	3.359027866562726	500
1.09	4.193334052116243	979598	3.345453974724318	500
1.1	4.105906840759403	981791	3.331976667631439	500
1.11	4.02101116729288	983754	3.318597783014979	500
1.12	3.9388961606808333	985529	3.30531920228604	500
1.13	3.85951431997068	987175	3.2921428516843703	500
1.14	3.782644949622278	988651	3.2790707034582836	500
1.15	3.7079006103579832	989941	3.2661047770772003	500
1.16	3.6357055594343657	991124	3.253247140478044	500
1.17	3.5656365588937984	992123	3.240499911346596	500
1.18	3.4979624484628946	993087	3.227865258435465	500
1.19	3.4324818437016553	993893	3.2153454029197794	500
1.2	3.368757889402436	994633	3.2029426197925814	500
1.21	3.3070931997291857	995273	3.190659239301306	500
1.22	3.2473155032790624	995813	3.178497648427417	500
1.23	3.189531475111276	996323	3.1664602924111684	500
1.24	3.133675910485234	996791	3.1545496763235823	500
1.25	3.0797839503350786	997161	3.1427683666881596	500
1.26	3.0268657894709676	997501	3.1311189931547125	500
1.27	2.9757989224548687	997815	3.119604250228261	500
1.28	2.926297752923487	998057	3.1082268990558006	500
1.29	2.8784020053594004	998287	3.096989769274334	500
1.3	2.8317745622044685	998454	3.085895760923608	500
1.31	2.78662471672498	998598	3.0749478464272575	500
1.32	2.7427289799904098	998743	3.064149072646558	500
1.33	2.700342458816527	998863	3.0535025630110817	500
1.34	2.6589674311196054	998961	3.0430115197309116	500
1.35	2.6192249346948673	999061	3.0326792260956603	500
1.36	2.580182167253288	999149	3.0225090488654667	500
1.37	2.5435826562688635	999210	3.012504440759951	500
1.38	2.5059934154026826	999270	3.0026689430512543	500
1.39	2.469988559231405	999306	2.993006188267757	500
1.4	2.4356884382837674	999336	2.9835199030155337	500
1.41	2.4032843927962735	999363	2.9742139109250227	500
1.42	2.371058807707286	999394	2.9650921357308047	500
1.43	2.3383151489217977	999416	2.956158604492938	500
1.44	2.3086651790390573	999432	2.947417450968686	500
1.45	2.2816397416436582	999451	2.938872919144005	500
1.46	2.249374933976698	999455	2.9305293669347052	500
1.47	2.219590414221315	999470	2.922391270067601	500
1.48	2.1979097120434736	999475	2.9144632261526	500
1.49	2.1639864565578466	999480	2.9067499589571453	500
1.5	2.1416768089017184	999485	2.8992563228950003	500
1.51	2.118818362666073	999486	2.8919873077418736	500
1.52	2.1049422932710207	999487	2.884948043591093	500
1.53	2.063102912773909	999493	2.8781438060628637	500
1.54	2.0410261742271762	999494	2.87158002178159	500
1.55	2.0305158396181913	999495	2.8652622741360356	500
1.56	2.012072481425204	999496	2.859196309338038	500
1.57	1.982151591987693	999498	2.853388042796037	500
1.58	1.975492518883397	999498	2.847843565820376	500
1.59	1.9689438652487101	999498	2.8425691526783234	500
1.6	1.9247886256999804	999499	2.8375712680173897	500
1.61	1.8916652107168355	999500	2.832856574676537	500
1.62	1.8909305632992703	999500	2.8284319419059343	500
1.63	1.8903949650558916	999500	2.824304454016838	500
1.64	1.890064471113082	999500	2.8204814194845986	500
1.65	1.8899453700497466	999500	2.816970380528957	500
1.66	1.8900441955127987	999500	2.813779123197319	500
1.67	1.890367738577631	999500	2.8109156879784347	500
1.68	1.8909230609110392	999500	2.8083883809756274	500
1.69	1.8917175088020954	999500	2.806205785670779	500
1.7	1.892758728124973	999500	2.804376775312657	500
1.71	1.8940546803142697	999500	2.802910525965671	500
1.72	1.8956136594300628	999500	2.8018165302579443	500
1.73	1.8932096251068178	999500	2.801104611870948	500
1.74	1.889051945888682	999500	2.8007849408164223	500
1.75	1.8850776507496398	999500	2.799010712916121	500
1.76	1.8812900839690168	999500	2.778365993826913	500
1.77	1.877692657536434	999500	2.758146086036181	500
1.78	1.8742888528737278	999500	2.7383496215731844	500
1.79	1.871082222638189	999500	2.71897524278732	500
1.8	1.8680763926136623	999500	2.700021602066274	500
1.81	1.8652750636919946	999500	2.681487361512688	500
1.82	1.8626820139529952	999500	2.6633711925858954	500
1.83	1.8603011008483479	999500	2.6456717757167447	500
1.84	1.85813626349375	999500	2.6283877999049854	500
1.85	1.8561915250784697	999500	2.611517962310259	500
1.86	1.8544709953951446	999500	2.5950609678489998	500
1.87	1.8529788735013657	999500	2.5790155288107126	500
1.88	1.851719450515722	999500	2.5633803645082502	500
1.89	1.850697112557547	999500	2.5481542009770446	500
1.9	1.8499163438392678	999500	2.5333357707387134	500
1.91	1.8493817299173518	999500	2.51892381264418	500
1.92	1.8490979611101657	999500	2.504917071810581	500
1.93	1.8490698360934517	999500	2.49131429966501	500
1.94	1.8493022656797968	999500	2.478114254106157	500
1.95	1.849800276793279	999500	2.465315699792288	500
1.96	1.8505690166488296	999500	2.452917408561039	500
1.97	1.8516137571450322	999500	2.4409181599827545	500
1.98	1.8529398994830866	999500	2.4293167420452217	500
1.99	1.8523928061523849	999500	2.418111951963385	500
2	1.8501369510263723	999500	2.407302597103258	500
2.01	1.8469847371609636	999500	2.3968874960051663	500
2.02	1.8404173251793865	999500	2.3868654794872644	500
2.03	1.8341194235700211	999500	2.3772353918070714	500
2.04	1.828090666864141	999500	2.367996091855586	500
2.05	1.822330686425489	999500	2.3591464543566754	500
2.06	1.8168391103618344	999500	2.3506853710429825	500
2.07	1.8116155634410123	999500	2.3426117517793648	500
2.08	1.8066596670100001	999500	2.334924525605364	500
2.09	1.8019710389175763	999500	2.3276226416698034	500
2.1	1.797549293439919	999500	2.3207050700328034	500
2.11	1.7933940412081695	999500	2.3141708023136265	500
2.12	1.789504889140856	999500	2.3080188521663874	500
2.13	1.7858814403768473	999500	2.3022482555697414	500
2.14	1.7825232942118174	999500	2.2968580709210022	500
2.15	1.7794300460376835	999500	2.2918473789296163	500
2.16	1.7766012872816903	999500	2.2872152823094356	500
2.17	1.7740366053510082	999500	2.2829609052733177	500
2.18	1.7717355835754631	999500	2.2790833928377654	500
2.19	1.7696978011542677	999500	2.2755819099487202	500
2.2	1.7679228331032493	999500	2.272455640442693	500
