/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/bin/java -Dvisualvm.id=1037813824781202 "-javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=63005:/Applications/IntelliJ IDEA.app/Contents/bin" -Dfile.encoding=UTF-8 -classpath /Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/packager.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/tools.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jfxswt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/cldrdata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/nashorn.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Users/al/repos/github/angles/target/classes:/Users/al/.m2/repository/richard-connor/Metric-space-framework/1.0-SNAPSHOT/Metric-space-framework-1.0-SNAPSHOT.jar:/Users/al/.m2/repository/MetricSpaceContext/MetricSpaceContext/0.0.1-SNAPSHOT/MetricSpaceContext-0.0.1-SNAPSHOT.jar:/Users/al/.m2/repository/org/apache/commons/commons-math3/3.5/commons-math3-3.5.jar:/Users/al/.m2/repository/org/openjfx/javafx-controls/12.0.1/javafx-controls-12.0.1.jar:/Users/al/.m2/repository/org/openjfx/javafx-controls/12.0.1/javafx-controls-12.0.1-mac.jar:/Users/al/.m2/repository/org/openjfx/javafx-graphics/12.0.1/javafx-graphics-12.0.1.jar:/Users/al/.m2/repository/org/openjfx/javafx-graphics/12.0.1/javafx-graphics-12.0.1-mac.jar:/Users/al/.m2/repository/org/openjfx/javafx-base/12.0.1/javafx-base-12.0.1.jar:/Users/al/.m2/repository/org/openjfx/javafx-base/12.0.1/javafx-base-12.0.1-mac.jar:/Users/al/.m2/repository/junit/junit/4.12/junit-4.12.jar:/Users/al/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar uk.al_richard.experimental.angles.SweepyIDIMExplorer
objc[41940]: Class JavaLaunchHelper is implemented in both /Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/bin/java (0x10d3234c0) and /Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/libinstrument.dylib (0x10d39d4e0). One of the two will be used. Which one is undefined.
CommonBase: DANGER - only SIFT maps/queries etc. are complete - rest return null - temp botch
Checking Euc10 1000000 random points, query radius = 1.8 pivots = 500
diagonal_distance	lidim	count	piv iDIM	count
0.01	7.990553666787725	732619	3.7274584483337754	500
0.02	7.793898278182346	748582	3.7088361686997695	500
0.03	7.601504986268586	764051	3.6902404217926414	500
0.04	7.412882983546514	778948	3.671671652395575	500
0.05	7.2288243448108895	793343	3.653130315527393	500
0.06	7.0477884209974	807048	3.6346168767368976	500
0.07	6.87127595258573	820223	3.6161318124069406	500
0.08	6.699749957516345	832913	3.597675610068643	500
0.09	6.5316124437418095	844930	3.5792487687261274	500
0.1	6.367970647684615	856407	3.560851799192057	500
0.11	6.208214079704047	867272	3.542485224434481	500
0.12	6.052922541483852	877610	3.5241495799352913	500
0.13	5.901203020015027	887311	3.5058454140607207	500
0.14	5.754174735281241	896554	3.487573288444324	500
0.15	5.611073831762535	905249	3.4693337783828797	500
0.16	5.471248399697674	913299	3.451127473245644	500
0.17	5.335308606300732	920822	3.4329549768973946	500
0.18	5.202592260714795	927725	3.4148169081358337	500
0.19	5.075363867320368	934449	3.396713901143712	500
0.2	4.951040614027038	940559	3.3786466059563036	500
0.21	4.8306067154624985	946267	3.3606156889446517	500
0.22	4.7137593279038255	951552	3.342621833315167	500
0.23	4.599953697132482	956331	3.3246657396261377	500
0.24	4.489688791051671	960745	3.306748126321669	500
0.25	4.382924845239266	964818	3.288869730283651	500
0.26	4.279189758945661	968480	3.271031307402346	500
0.27	4.179103711462994	971919	3.2532336331661993	500
0.28	4.081808159257767	974978	3.2354775032714445	500
0.29	3.9876194024951155	977757	3.217763734252245	500
0.3	3.8961896062352395	980219	3.2000931641318178	500
0.31	3.8079870219650696	982516	3.182466653095405	500
0.32	3.7224751596172174	984565	3.1648850841856135	500
0.33	3.639880103174858	986443	3.147349364020832	500
0.34	3.5598910072811942	988082	3.1298604235374357	500
0.35	3.4822918616221354	989559	3.112419218756416	500
0.36	3.407041356567017	990829	3.0950267315752007	500
0.37	3.334296246547434	991961	3.0776839705853236	500
0.38	3.264122929217632	993018	3.0603919719166455	500
0.39	3.196014098388365	993912	3.043151800108877	500
0.4	3.1301308978403837	994716	3.025964549011132	500
0.41	3.066382186636349	995393	3.0088313427101765	500
0.42	3.004378040036109	995950	2.991753336488142	500
0.43	2.944521385600954	996476	2.974731717810429	500
0.44	2.8864334683210817	996930	2.957767707344482	500
0.45	2.830402514082775	997310	2.9408625600101743	500
0.46	2.775911556250502	997661	2.9240175660625574	500
0.47	2.7232889760591372	997929	2.907234052207579	500
0.48	2.6721868534872035	998189	2.890513382751608	500
0.49	2.6225180528015226	998397	2.8738569607853255	500
0.5	2.5744122127097	998588	2.8572662294027795	500
0.51	2.5279230461155233	998758	2.840742672956215	500
0.52	2.482903590625004	998900	2.8242878183473925	500
0.53	2.4392143064141334	999006	2.807903236356039	500
0.54	2.3963704628634495	999098	2.7915905430061114	500
0.55	2.3549175130757893	999161	2.7753514009705427	500
0.56	2.315179415197404	999225	2.759187521015114	500
0.57	2.27563412030873	999275	2.743100663482143	500
0.58	2.2376946442854413	999314	2.727092639814687	500
0.59	2.200999217836827	999344	2.7111653141219154	500
0.6	2.1660850033711725	999373	2.6953206047864713	500
0.61	2.1308920642083704	999398	2.6795604861144873	500
0.62	2.097043971488683	999416	2.6638869900292015	500
0.63	2.063236170600708	999434	2.648302207808975	500
0.64	2.031448156062888	999441	2.6328082918707287	500
0.65	2.0004685931567834	999452	2.6174074575999398	500
0.66	1.9702578068085994	999464	2.602101985228298	500
0.67	1.9394216438654273	999477	2.586894221760572	500
0.68	1.9175482812261466	999480	2.571786582952126	500
0.69	1.8833051736292683	999482	2.5567815553389592	500
0.7	1.866527079856413	999485	2.541881698322367	500
0.71	1.8374374757646776	999488	2.5270896463105936	500
0.72	1.8043407504928453	999490	2.512408110920251	500
0.73	1.7787486622851525	999494	2.4978398832407636	500
0.74	1.7607099891543332	999495	2.4833878361654618	500
0.75	1.7296532518102283	999497	2.4690549267936386	500
0.76	1.7220497512107777	999497	2.4548441989084724	500
0.77	1.714518505335217	999497	2.44075878553646	500
0.78	1.6628881595705922	999499	2.426801911594722	500
0.79	1.6534386271062125	999499	2.412976896633697	500
0.8	1.6440634484972154	999499	2.399287157683447	500
0.81	1.634764509113284	999499	2.3857362122131	500
0.82	1.625543750291254	999499	2.3723276812142364	500
0.83	1.6164031708045072	999499	2.359065292420086	500
0.84	1.6073448283427672	999499	2.3459528836742587	500
0.85	1.5152452829469045	999500	2.3329944064638655	500
0.86	1.5081007580138825	999500	2.3201939296338914	500
0.87	1.501036588848254	999500	2.307555643301287	500
0.88	1.4940552229644397	999500	2.2950838629890487	500
0.89	1.4871591891092897	999500	2.282783034002658	500
0.9	1.4803510997453262	999500	2.270657736073023	500
0.91	1.473633653594544	999500	2.2587126882921966	500
0.92	1.4670096382452664	999500	2.2469527543700942	500
0.93	1.4604819328252787	999500	2.2353829482423486	500
0.94	1.4540535107470225	999500	2.2240084400614455	500
0.95	1.4477274425269364	999500	2.212834562604857	500
