Distance,IDIM,LOCAL_COUNT,PIV_IDIM,PIV_COUNT
0.3,38.22447765,4,5.889108194,500
0.31,48.28382069,5,5.871316175,500
0.32,48.55110032,5,5.853547017,500
0.33,37.71819689,6,5.835800966,500
0.34,37.01672751,7,5.818078271,500
0.35,36.81718234,7,5.800379187,500
0.36,39.19658028,11,5.782703969,500
0.37,40.25955821,12,5.765052879,500
0.38,39.92708314,12,5.747426181,500
0.39,32.46609471,15,5.729824143,500
0.4,38.22927137,21,5.712247038,500
0.41,38.30270512,26,5.694695143,500
0.42,37.93036509,31,5.677168737,500
0.43,39.63958586,39,5.659668106,500
0.44,41.24706003,49,5.642193538,500
0.45,40.64712872,59,5.624745327,500
0.46,39.43676633,70,5.607323771,500
0.47,38.98967169,84,5.589929172,500
0.48,38.53884293,100,5.572561836,500
0.49,38.69355485,121,5.555222075,500
0.5,37.0597064,140,5.537910206,500
0.51,36.79182713,167,5.52062655,500
0.52,36.44870749,198,5.503371433,500
0.53,36.05701094,234,5.486145186,500
0.54,34.42311891,264,5.468948145,500
0.55,35.10473449,320,5.451780652,500
0.56,35.45036048,382,5.434643053,500
0.57,35.40900288,454,5.417535702,500
0.58,35.57074438,546,5.400458956,500
0.59,35.82315879,656,5.383413179,500
0.6,35.72030644,780,5.36639874,500
0.61,34.55846466,895,5.349416014,500
0.62,34.60708928,1064,5.332465383,500
0.63,34.42738605,1255,5.315547234,500
0.64,33.94471758,1466,5.29866196,500
0.65,34.02652885,1734,5.281809962,500
0.66,33.60839844,2021,5.264991645,500
0.67,32.84605816,2323,5.248207425,500
0.68,32.34568975,2681,5.231457719,500
0.69,31.84352113,3085,5.214742955,500
0.7,31.1654854,3519,5.198063566,500
0.71,30.6055838,4015,5.181419995,500
0.72,30.12964779,4586,5.164812688,500
0.73,30.022247,5288,5.148242102,500
0.74,29.72323392,6058,5.1317087,500
0.75,29.16410635,6861,5.115212954,500
0.76,28.76741246,7789,5.098755343,500
0.77,28.43360413,8849,5.082336353,500
0.78,27.9345414,9969,5.065956481,500
0.79,27.64738379,11292,5.049616231,500
0.8,27.33172407,12756,5.033316115,500
0.81,26.94201843,14340,5.017056655,500
0.82,26.53271551,16078,5.000838381,500
0.83,26.08489788,17961,4.984661832,500
0.84,25.70974239,20073,4.968527559,500
0.85,25.45899694,22502,4.952436119,500
0.86,25.09976759,25074,4.936388082,500
0.87,24.7325102,27877,4.920384025,500
0.88,24.30942058,30848,4.904424537,500
0.89,23.96874565,34186,4.888510218,500
0.9,23.67395742,37890,4.872641676,500
0.91,23.29808034,41770,4.856819533,500
0.92,22.99406338,46105,4.841044421,500
0.93,22.66408269,50743,4.825316983,500
0.94,22.28589839,55614,4.809637873,500
0.95,21.87880689,60736,4.794007758,500
0.96,21.51824316,66329,4.778427317,500
0.97,21.23364812,72553,4.762897242,500
0.98,20.8884858,79000,4.747418236,500
0.99,20.56812202,85954,4.731991016,500
1,20.27661968,93491,4.716616312,500
1.01,19.95107318,101342,4.701294868,500
1.02,19.63139283,109674,4.686027442,500
1.03,19.32709299,118577,4.670814806,500
1.04,18.98144851,127685,4.655657745,500
